payload_length,entropy_score,label
2127,6.9649639439485025,1
872,4.872162708732536,0
1873,7.412739989510008,1
2490,7.485120164300531,1
1117,7.566071709471927,1
1025,4.656422920484398,0
2467,5.188462906922153,1
1531,3.249605587521421,0
482,6.963771674174829,1
768,5.083011384146676,0
861,4.692789586158489,0
812,5.440103405203409,1
1218,7.9162706698699425,1
1074,4.885446050997214,0
581,7.897346972788891,1
549,7.372523381481824,1
1183,4.7212886146668325,0
797,5.507840764469387,0
262,8.0,1
163,8.0,1
132,7.814654120281602,1
914,7.060281974621806,0
1057,5.938828603593032,0
837,5.2283928835643705,0
891,4.760546697529718,0
825,6.010466027406216,0
1118,4.988797237774133,0
982,8.0,1
1285,4.664660332232652,0
1173,6.865184206884939,1
2032,8.0,1
738,6.142349076524761,0
753,5.848807609364311,0
789,5.374878078237624,0
1935,8.0,1
1115,5.465239530741698,0
895,4.788852141614965,0
832,5.565411724334354,1
1399,7.953861979889398,1
763,6.033024579325929,0
230,5.414666448064273,0
881,6.14046551642694,0
1301,3.9306293973790987,0
1137,8.0,1
822,5.240447969797871,0
384,6.343949343705928,0
887,6.018305702036834,0
1650,3.228867470333853,0
791,5.080590313395298,0
552,6.25825213757871,1
1102,4.165810853177378,0
596,5.800949249205712,0
783,7.461187074990907,1
540,8.0,1
1729,7.568681010367953,1
1019,5.801027800226297,0
1064,4.690367293927142,0
620,6.1789844209887175,0
1581,8.0,1
1701,8.0,1
1083,8.0,1
670,8.0,1
1357,4.636153182347894,0
931,4.997391671254778,0
1033,4.266661070373751,0
1456,4.085533162789131,0
2291,8.0,1
374,6.421756265983981,0
568,8.0,1
652,5.72914885364563,1
91,7.852737155773511,1
1222,4.893056401818508,0
1775,8.0,1
1312,4.635535262142993,1
2086,7.9072167064837275,1
2282,7.257598049495688,1
110,8.0,1
1401,7.694087722946244,1
856,4.9896881530082755,0
119,6.177471512606784,1
1056,4.873910369838722,0
889,5.046447408742913,0
1011,8.0,1
2196,6.485380310698807,1
1271,3.1474853154123195,0
813,8.0,0
173,6.730928064717972,1
1237,4.412834924818883,0
637,7.552511845956512,1
366,7.663580346860032,1
440,8.0,1
1811,4.38704816509199,1
871,5.047891850300556,0
610,5.462825880094663,0
681,6.69485092224442,0
1358,4.37030544768554,0
640,5.801999050131858,0
928,6.640774301285687,1
2137,7.426585373335952,1
823,6.0625927554794,1
954,5.300664650830219,0
860,5.502910788938244,0
900,5.766265711368708,1
1864,3.5319776647988417,0
694,5.9529418473227835,0
919,6.131295225769916,0
2490,7.312078337530816,1
693,7.975601308898521,1
799,7.641542125512879,0
2313,6.852865422896076,1
1151,7.966569758324919,1
919,5.063965256524332,0
1552,6.781397173053172,1
731,5.8247237466777,0
340,6.482137522974772,0
1325,4.33740565823526,0
838,7.3969836742152495,1
1418,7.426140989174304,1
630,5.893363883026556,0
629,5.741297980927828,0
1093,5.540830235466033,1
1412,4.6353118596604395,1
831,5.383473274209449,0
1045,5.440719415378398,0
1938,8.0,1
948,4.790722495384316,0
1171,4.2867152789809815,0
1167,4.892682825398197,0
1908,7.415565191043603,1
1075,4.536690799717562,0
1169,6.765581966752464,1
1327,5.527049701543549,1
2010,8.0,1
994,4.747498159735687,0
1066,4.59934103626297,0
1242,3.890578248554791,1
1086,8.0,1
370,5.319118642987946,1
593,5.197859009335403,0
1167,7.324076464549139,1
453,5.288847931304221,0
1797,7.860375590220744,1
903,4.964383307578126,0
2333,8.0,1
333,6.259976079799519,1
711,8.0,1
332,7.240112713100139,1
242,7.893283925301528,1
1257,4.7422553560362815,0
1425,3.7222560722640545,0
790,4.942972772947706,0
2456,7.1688364679139545,1
1288,5.186378331909231,0
1106,5.13888262411882,0
325,7.70199124877738,0
731,5.661137630051859,0
1452,7.098245003823319,1
1871,8.0,1
1277,4.400662331713637,0
2476,7.25148940396166,1
891,8.0,1
1495,3.335720290496084,0
819,5.171468623419491,0
1581,7.573572218965508,1
1188,4.627205357831588,1
756,5.255670273897729,0
2104,7.0633874171491255,1
143,6.75803187295474,1
332,8.0,1
742,5.54718098213497,0
1166,4.361396336216685,0
345,6.224186414085762,0
1162,3.962625397281618,0
2319,7.023707197413515,1
284,5.601526453244261,1
763,5.567235561482176,0
1683,8.0,1
974,4.91612721434608,1
776,5.14975894173682,0
994,4.765533421359466,0
2394,6.962914336232318,1
1089,4.746680981920534,1
1395,4.3601656266235045,0
950,5.265171894905669,0
597,5.178423080415749,0
1073,8.0,1
1168,4.970336961970706,1
2074,8.0,1
771,4.97421141749842,0
2308,6.633879951130535,1
487,6.439865374992041,0
1089,4.925019628867622,1
585,5.941172965154623,0
560,6.022658895369859,0
1500,3.7902379613607025,0
1088,5.796864672839213,0
624,6.473882302036629,0
853,4.9837852859182386,0
1000,5.00918905427544,0
1346,8.0,1
1940,6.073681058164219,1
1290,4.487185911778955,1
50,7.170210966062676,0
1166,3.652224344626382,0
1024,4.808401329475932,0
305,7.528748231039505,1
2238,7.676579212206831,1
960,4.635543465521364,0
517,5.954570741669538,0
1152,4.604325738573977,0
973,6.217368173923804,1
